Sport_name,Date,Time,Team1_name,Team1_points,Team1_spread,Team1_win,Team1_total,Team2_name,Team2_points,Team2_spread,Team2_win,Team2_total,Draw
baseball,2018-10-15,09:00,Fukuoka Softbank Hawks,1,-2.5(+115),(-600),8.5(EVEN),Hokkaido Nippon-Ham Fighters,3,2.5(-155),(+380),8.5(-135),
hockey,2018-10-15,10:00,Lida-2,0,,(-165),7.5(+105),Brest-2,2,,(+120),7.5(-145),
