Sport_name,Date,Time,Team1_name,Team1_points,Team1_spread,Team1_win,Team1_total,Team2_name,Team2_points,Team2_spread,Team2_win,Team2_total,Draw
basketball,2018-10-16,07:00,Parma U21,53,,,168.5(-125),UNICS U21,49,-3.5(-115)3.5(-125),(-210)(+140),168.5(-115),
tennis,2018-10-16,08:05,E. Gerasimov,0,,,,D. Dzumhur,0,2.5(-115)-2.5(-115),(+130)(-170),,
tennis,2018-10-16,08:05,R. Berankis,0,,,,D. Istomin,0,2.5(-115)-2.5(-115),(+145)(-185),,
